Date;Match ID;League;country;Time;Status;Diff_Prob;OddAsianOverGoals_FT;AsianOverGoals_FT;OddAsianUnderGoals_FT;AsianUnderGoals_FT;corners_home;corners_away;corners_FT;corners_home_HT;corners_away_HT;Corners_HT;attack_FT;dangerous_attack_FT;possession_FT;Home;Home Pos;Home Red Cards;Home Yellow Cards;Odd_H_FT;Goals_H_HT;Goals_H_FT;Score;Odd_D_FT;Away;Away Pos;Away Red Cards;Away Yellow Cards;Odd_A_FT;Goals_A_HT;Goals_A_FT;Handicap;Corners (FT);Corners (HT);Total Goals Line (FT);Total Goals Line (HT);Dangerous Attacks (FT);Dangerous Attacks (HT);half_dangerous_attack_away;half_dangerous_attack_home;half_possession_away;half_possession_home;half_shoot_off_target_away;half_shoot_off_target_home;half_shoot_on_target_away;half_shoot_on_target_home;odds_lose_odds;odds_win_odds;odds_draw_odds;handicap_goal_over_line;handicap_goal_over_odds;handicap_goal_under_odds;handicap_goal_under_line;attack_away;attack_home;dangerous_attack_away;dangerous_attack_home;possession_away;possession_home;shoot_off_target_away;shoot_off_target_home;shoot_on_target_away;shoot_on_target_home;GoalMinutes;goal_minutes_real;goal_periods;is_extra_time;goal_scorers;goal_diff_before_list;goal_diff_after_list;period_result_before_list;period_result_after_list;pct_time_drawing;pct_time_home_winning;pct_time_away_winning;pct_time_drawing_HT;pct_time_home_winning_HT;pct_time_away_winning_HT;category;api_H_id;api_H_team;api_A_id;api_A_team
2026-04-28;193608297;Indonesia Super League;Indonesia;05:30;Schedule;0.10971786833855796;1.8;2.5;2.0;2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Arema FC;;0.0;0.0;2.2;0;0.0;0 - 0;3.2;Persebaya Surabaya;;0.0;0.0;2.9;0;0.0;-0.25;0 - 0;0-0;2.5;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;47465.0;Arema FC;76319.0;Persebaya Surabaya
2026-04-28;193671759;Bangladesh Federation Cup;Bangladesh;05:45;Schedule;0.4848484848484848;1.8;2.0, 2.5;2.0;2.0, 2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Dhaka Abahani;;0.0;0.0;1.5;0;0.0;0 - 0;3.75;PWD Sports Club;;0.0;0.0;5.5;0;0.0;-1.0;0 - 0;0-0;2.25;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;;;;
2026-04-28;193700687;Malaysia Liga A1 Semi Pro;Malaysia;05:45;Schedule;0.0;1.8;2.5;2.0;2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Perak;;0.0;0.0;2.4;0;0.0;0 - 0;3.6;Johor Darul Ta'zim II;;0.0;0.0;2.4;0;0.0;0.0;0 - 0;0-0;2.5;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;Youth;61990.0;Perak FC;;
2026-04-28;193693427;Thailand Division 3;Thailand;06:00;Schedule;0.0;1.875;2.0, 2.5;1.925;2.0, 2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;North Bangkok University;;0.0;0.0;2.5;0;0.0;0 - 0;3.2;Prime Bangkok;;0.0;0.0;2.5;0;0.0;0.0;0 - 0;0-0;2.25;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;;;256569.0;Prime Bangkok FC
2026-04-28;193693425;Thailand Division 3;Thailand;06:00;Schedule;-0.06441223832528187;1.825;2.0, 2.5;1.975;2.0, 2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Fleet FC;;0.0;0.0;2.7;0;0.0;0 - 0;3.2;Burapha United;;0.0;0.0;2.3;0;0.0;0.0;0 - 0;0-0;2.25;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;546837.0;Fleet FC;1112637.0;Burapha United
2026-04-28;193693423;Thailand Division 3;Thailand;06:00;Schedule;0.040916530278232444;1.95;2.5;1.85;2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Muang Loei United;;0.0;0.0;2.35;0;0.0;0 - 0;3.3;Udon United;;0.0;0.0;2.6;0;0.0;0.0;0 - 0;0-0;2.5;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;;;734437.0;Udon United
2026-04-28;193663554;Australia Cup Qualifying;Australia;06:30;Schedule;0.6933306055646481;1.85;3.0;1.95;3.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;South Melbourne;;0.0;0.0;1.222;0;0.0;0 - 0;5.75;Bulleen Lions;;0.0;0.0;8.0;0;0.0;-1.75;0 - 0;0-0;3.0;1.25;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;2944.0;South Melbourne FC;181418.0;FC Bulleen Lions
2026-04-28;193663549;Australia Cup Qualifying;Australia;06:30;Schedule;-0.5142857142857142;1.8;3.0;2.0;3.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;FC Melbourne Srbija;;0.0;0.0;5.0;0;0.0;0 - 0;5.0;St Albans Saints;;0.0;0.0;1.4;0;0.0;+1.25;0 - 0;0-0;3.0;1.25;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;396548.0;FC Melbourne Srbija;163430.0;ST Albans Saints Dinamo SC
2026-04-28;193660788;Australia Cup Qualifying;Australia;06:30;Schedule;0.6849972722313148;1.85;4.5;1.95;4.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;AC Carina;;0.0;0.0;1.222;0;0.0;0 - 0;5.75;Mudgeeraba;;0.0;0.0;7.5;0;0.0;-2.25;0 - 0;0-0;4.5;2.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;;;;
2026-04-28;193660632;Australia Cup Qualifying;Australia;06:30;Schedule;0.34965034965034963;1.85;2.5;1.95;2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Sutherland Sharks;;0.0;0.0;1.65;0;0.0;0 - 0;4.0;Manly Utd;;0.0;0.0;3.9;0;0.0;-0.75;0 - 0;0-0;2.5;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;92214.0;Sutherland Sharks;92208.0;Manly United FC
